Date,Air Temp (°C),Depth (m),DO (mg/L),EC (µS/cm),ORP (mV),pH,Pressure (mbar),SAL (ppt),SAT (%sat),SG,TDS (ppm),Water Temp (°C),Longitude,Latitude
1/4/2023,8.203222222,-52.983,10.46733333,"36,995",205.1688889,7.994188889,"1,019.63",22.38766667,83.54444444,1.018555556,"19,979.86",5.746677778,-73.925,40.782
1/5/2023,6.901573427,-96.17534965,10.50961539,"38,884.62",217.4814685,7.994821678,"1,024.87",23.6434965,83.87237762,1.019423077,"21,000.10",5.741594406,-73.925,40.782
1/6/2023,6.082526316,-120.5574737,10.40764912,"39,008.81",216.8182456,7.981635088,"1,027.83",23.7382807,83.24280702,1.019515789,"21,067.03",5.829445614,-73.925,40.782
1/7/2023,4.885104895,-162.5553497,10.38472028,"38,752.52",220.4660839,7.979727273,"1,032.95",23.55454546,82.83041958,1.019353147,"20,928.81",5.719685315,-73.925,40.782
1/8/2023,4.452587413,-196.9876224,10.44895105,"38,285.14",210.2524476,7.977895105,"1,037.16",23.22622378,83.08426573,1.019097902,"20,676.23",5.600258741,-73.925,40.782
1/9/2023,5.132727273,-106.1683217,10.47164336,"38,073.57",208.629021,7.976566434,"1,026.08",23.08370629,83.26188811,1.019003497,"20,562.14",5.598601399,-73.925,40.782
1/10/2023,4.561643357,-124.3113636,10.4163986,"37,654.62",216.165035,7.976188811,"1,028.28",22.80975525,82.88181818,1.018835664,"20,336.06",5.626524476,-73.925,40.782
1/11/2023,4.258280702,-176.3704561,10.35887719,"38,023.33",204.3252632,7.979652632,"1,034.63",23.04807018,82.35298246,1.019,"20,535.01",5.594140351,-73.925,40.782
1/12/2023,6.297482517,-132.0983916,10.42024476,"38,205.45",197.4727273,7.984825175,"1,029.24",23.17339161,82.91118881,1.019097902,"20,633.37",5.627496503,-73.925,40.782
1/13/2023,7.188076923,-11.71006993,10.3822028,"37,816.08",200.8307692,7.980416084,"1,014.66",22.9501049,83.14545455,1.018944056,"20,423.03",5.881265734,-73.925,40.782
1/14/2023,3.141888112,-64.95664336,10.62038462,"38,506.12",205.434965,8.00372028,"1,021.08",23.38052448,84.59825175,1.019234266,"20,795.70",5.674839161,-73.925,40.782
1/15/2023,2.436398601,-110.2144755,10.9222028,"39,298.25",202.1020979,8.046814685,"1,026.57",23.85006993,86.1506993,1.019629371,"21,223.33",5.289020979,-73.925,40.782
1/16/2023,2.679685315,-79.07520979,11.13416084,"39,197.52",205.8769231,8.070741259,"1,022.79",23.74594406,87.28216783,1.019534965,"21,168.94",5.050027972,-73.925,40.782
1/17/2023,4.690877193,-33.27708772,11.03273684,"37,992.70",202.5691228,8.07297193,"1,017.26",22.94631579,86.43614035,1.019017544,"20,518.53",5.026273684,-73.925,40.782
1/18/2023,6.534965035,-60.32073427,11.21534965,"38,017.20",205.7318182,8.08756993,"1,020.53",22.96545455,87.91083916,1.018972028,"20,531.75",5.04534965,-73.925,40.782
1/19/2023,5.459254386,-76.39175439,11.14912281,"38,146.14",197.670614,8.108149123,"1,022.48",23.06048246,87.54429825,1.018982456,"20,601.24",5.115508772,-73.925,40.782
1/20/2023,6.16493007,-36.46311189,11.16825175,"38,721.36",197.6346154,8.127461538,"1,017.65",23.44818182,87.80979021,1.019283217,"20,911.92",5.163958042,-73.925,40.782
1/21/2023,4.585267857,-127.1926786,11.94321429,"39,460.45",201.9571429,8.1738125,"1,028.63",23.91017857,89.76517857,1.019767857,"21,311.21",4.961741071,-73.925,40.782
2/14/2023,6.40527972,-117.2722378,11.18489511,"38,894.44",182.6157343,8.187122378,"1,027.44",23.53797203,87.58111888,1.019388112,"21,005.51",5.007825175,-73.925,40.782
