Date,Air Temp (°C),Depth (m),DO (mg/L),EC (µS/cm),ORP (mV),pH,Pressure (mbar),SAL (ppt),SAT (%sat),SG,TDS (ppm),Water Temp (°C),Longitude,Latitude
1/24/2023,2.521818182,53.47306818,12.18806818,"20,573.74",137.1965909,7.984625,"1,006.85",21.98909091,99.02386364,1.019011364,"20,573.74",-0.255,-74.01,40.668
1/25/2023,3.061316726,81.06957295,11.77071174,"20,316",-48.22348754,8.541679715,"1,003.56",21.87071174,96.65729537,1.018822064,"20,316",0.522921708,-74.01,40.668
1/26/2023,5.1292,171.7474182,11.17694546,"21,675.62",-52.69090909,8.511643636,992.7853455,23.70781818,95.36727273,1.020090909,"21,675.62",1.520396364,-74.01,40.668
1/27/2023,,51.40666667,11.67137681,"16,976.93",-27.04528986,7.717402174,"1,007.09",18.12007246,94.77137681,1.015706522,"16,976.93",1.268971014,-74.01,40.668
1/28/2023,4.83936803,-7.412825279,11.63992565,"17,347.17",-15.05427509,7.163070632,"1,014.15",18.51494424,94.35501859,1.016111524,"17,347.17",1.087620818,-74.01,40.668
1/29/2023,4.670070175,-8.144035088,11.16614035,"16,346.21",8.597894737,6.92825614,"1,014.23",17.58891228,93.28070175,1.015196491,"16,346.21",2.573754386,-74.01,40.668
1/30/2023,7.096350365,14.84916058,11.1290146,"15,526.74",-26.61459854,6.289813869,"1,011.47",16.71744526,93.84343066,1.014412409,"15,526.74",3.207543796,-74.01,40.668
1/31/2023,3.669787234,19.19666667,10.77159575,"17,081.09",56.71595745,6.619237589,"1,010.95",18.59386525,92.78758865,1.015797872,"17,081.09",3.519187943,-74.01,40.668
2/1/2023,2.387624113,-6.313723404,10.70680851,"17,365.94",53.52056738,6.93293617,"1,014.01",18.89301418,91.93404255,1.016152482,"17,365.94",3.292656028,-74.01,40.668
2/2/2023,2.542021277,16.55585106,10.91244681,"16,953.44",23.49822695,6.485234043,"1,011.27",18.39368794,93.14361702,1.015570922,"16,953.44",3.201702128,-74.01,40.668
2/3/2023,0.002882562,35.8786121,10.99088968,"17,307.56",80.22846975,6.590697509,"1,008.97",18.78459075,93.56725979,1.01597153,"17,307.56",2.985092527,-74.01,40.668
2/4/2023,-1.951215278,-111.9937153,11.92840278,"15,210.02",64.24201389,6.375159722,"1,026.79",16.07850694,95.24305556,1.014065972,"15,210.02",1.225479167,-74.01,40.668
2/17/2023,4.138787879,111.7911364,11.88537879,"19,521.48",46.61666667,8.039265152,999.8930303,21.93318182,112.8477273,1.017939394,"19,521.48",6.617984848,-74.01,40.668
2/18/2023,3.82759542,-18.69992366,12.87137405,"18,176.89",36.5370229,8.04079771,"1,015.51",20.1980916,118.5454198,1.016874046,"18,176.89",5.831736641,-74.01,40.668
2/19/2023,5.124389313,-40.36446565,12.45038168,"19,106.49",28.31374046,8.081396947,"1,018.11",21.35057252,116.0557252,1.017645038,"19,106.49",6.000751908,-74.01,40.668
2/20/2023,8.457442748,84.10320611,11.66603053,"20,429.85",30.22213741,8.431687023,"1,003.19",23.0289313,111.1561069,1.019,"20,429.85",6.426229008,-74.01,40.668
2/21/2023,5.973206107,102.5683969,11.56851145,"20,634.56",32.80152672,8.315370229,"1,000.99",23.27179389,110.2290076,1.019,"20,634.56",6.348866412,-74.01,40.668
2/22/2023,4.815496183,-2.544503817,11.59412214,"20,747.34",38.18053435,8.587755725,"1,013.56",23.37790076,109.9160305,1.019026718,"20,747.34",6.097919847,-74.01,40.668
2/23/2023,5.092705882,58.53423529,11.63329412,"20,776.91",43.76117647,9.490729412,"1,006.24",23.39247059,109.8988235,1.019,"20,776.91",5.937129412,-74.01,40.668
3/9/2023,,-70.74135714,,"16,568.24",62.97571429,7.887092857,"1,021.78",18.29642857,,1.015278571,"16,568.24",5.921521429,-74.01,40.668
