Date,Air Temp (°C),Depth (m),DO (mg/L),EC (µS/cm),ORP (mV),pH,Pressure (mbar),SAL (ppt),SAT (%sat),SG,TDS (ppm),Water Temp (°C),Longitude,Latitude
1/4/2023,11.21137615,-229.2449541,12.1233945,"32,937.16",144.8697248,7.861761468,"1,041.11",19.72944954,96.05045872,1.016495413,"17,788.41",5.667972477,-73.934,40.788
1/5/2023,8.518531469,-281.6206993,12.86437063,"35,582.03",137.0171329,7.897713287,"1,047.56",21.48391608,98.83671329,1.017811189,"19,216.63",5.813881119,-73.934,40.788
1/6/2023,6.761853147,-302.7448601,12.66716783,"34,605.17",133.7755245,7.897618881,"1,050.17",20.85300699,98.31468532,1.017297203,"18,689.30",5.831048951,-73.934,40.788
1/7/2023,4.531398601,-364.4038112,12.72891608,"34,211.43",134.0566434,7.904562937,"1,057.82",20.56300699,97.53846154,1.017108392,"18,476.56",5.450636364,-73.934,40.788
1/8/2023,3.423181818,-413.4721678,12.76618881,"33,436.05",126.0461538,7.907388112,"1,063.94",20.03433566,98.46153846,1.016748252,"18,058",5.31572028,-73.934,40.788
1/9/2023,5.569895105,-574.4521329,12.81444056,"34,247.45",123.291958,7.918311189,"1,084.55",20.55342657,98.19300699,1.017125874,"18,496.12",5.392699301,-73.934,40.788
1/10/2023,5.416503497,-610.3154895,12.83968532,"33,419.06",116.8433566,7.919041958,"1,089.06",20.02104895,98.8458042,1.016713287,"18,048.70",5.430384615,-73.934,40.788
1/11/2023,3.314427481,-472.8077099,12.9628626,"34,940",124.0248092,7.921450382,"1,071.38",21.01503817,97.97366412,1.017465649,"18,870.18",5.453003817,-73.934,40.788
1/12/2023,7.589160839,-403.2922378,12.73517483,"35,080.14",132.5108392,7.920548951,"1,062.69",21.10926573,97.46923077,1.017513986,"18,945.54",5.444538462,-73.934,40.788
1/13/2023,8.311818182,-271.4285664,12.6834965,"33,082.31",155.7898601,7.912856643,"1,046.31",19.84262238,98.66713287,1.016531469,"17,866.91",5.730304196,-73.934,40.788
1/14/2023,5.287272727,-367.4455245,12.59223776,"32,143.95",224.8902098,7.918632867,"1,058.20",19.1777972,99.68601399,1.016045455,"17,360.19",5.32408042,-73.934,40.788
1/15/2023,5.230174825,-413.4046154,13.3972028,"34,842.45",274.2458042,7.950325175,"1,063.93",20.8806993,101.1895105,1.017391608,"18,817.28",4.935566434,-73.934,40.788
1/16/2023,3.746784314,-380.8078824,13.12423529,"34,625.14",294.3952941,7.976666667,"1,059.87",20.72878431,100.0152941,1.017329412,"18,700.21",4.735545098,-73.934,40.788
1/17/2023,4.538846154,-290.3759091,13.25426573,"33,293.50",293.3793706,7.985688811,"1,048.64",19.85559441,100.9216783,1.016667832,"17,980.88",4.654772727,-73.934,40.788
1/18/2023,7.233596838,-307.3614229,13.09624506,"33,731.23",296.66917,7.985956522,"1,050.75",20.17505929,99.09249012,1.016826087,"18,217.32",5.098470356,-73.934,40.788
1/19/2023,5.797637363,-380.3662088,13.02071429,"35,220.82",317.8494505,7.995423077,"1,059.81",21.1360989,97.09835165,1.017598901,"19,021.77",5.045021978,-73.934,40.788
1/20/2023,6.309333333,-285.096,13.33266667,"39,056",314.7333333,8.021933333,"1,047.99",23.696,96.44,1.0196,"21,093.47",5.3416,-73.934,40.788
1/22/2023,6.505775862,-248.4735345,13.67008621,"33,845.95",131.7965517,7.922258621,"1,043.47",20.24862069,104.3206897,1.016931034,"18,279.45",4.880215517,-73.934,40.788
1/23/2023,4.346923077,-226.4923776,13.68251748,"34,580.66",129.2304196,8.032996503,"1,040.78",20.70118881,102.0024476,1.017304196,"18,676.13",4.788437063,-73.934,40.788
1/24/2023,4.373824561,-349.4546316,13.20084211,"29,762.28",121.9438596,8.056880702,"1,055.96",17.6085614,100.4529825,1.014852632,"16,074.13",4.450919298,-73.934,40.788
1/25/2023,5.073601399,-330.5137762,13.05097902,"31,733.29",126.7325175,8.090395105,"1,053.64",18.86493007,99.22937063,1.015835664,"17,138.44",4.587727273,-73.934,40.788
