Date,Air Temp (°C),Depth (m),DO (mg/L),EC (µS/cm),ORP (mV),pH,Pressure (mbar),SAL (ppt),SAT (%sat),SG,TDS (ppm),Water Temp (°C),Longitude,Latitude
3/1/2023,7.356073298,105.7431937,,"35,922.83",209.2722513,,"1,000.62",21.61518325,,1.017937173,"19,400.91",5.281445026,-74.199,40.44
3/2/2023,6.101458333,140.7365972,,"34,024.27",194.8829861,,996.4635069,20.44677083,,1.0169375,"18,375.80",5.923069444,-74.199,40.44
3/3/2023,5.688222997,32.15989547,,"31,928.43",202.7390244,,"1,009.40",19.09310105,,1.016020906,"17,243.87",6.059634146,-74.199,40.44
3/4/2023,6.574479167,105.3979167,,"28,458.82",218.5732639,,"1,000.67",16.89447917,,1.014180556,"15,370.27",6.500493056,-74.199,40.44
3/5/2023,6.128402778,-16.25847222,,"26,053.89",210.1909722,,"1,015.22",15.32975694,,1.012888889,"14,071.45",6.387861111,-74.199,40.44
3/6/2023,6.810590278,-9.170798611,,"26,403.89",205.6885417,,"1,014.36",15.61479167,,1.01321875,"14,260.68",7.174180556,-74.199,40.44
3/7/2023,7.332439024,47.79174216,,"26,644.01",154.1592334,,"1,007.51",15.77202091,,1.013337979,"14,390.21",7.192811847,-74.199,40.44
3/8/2023,6.405104167,-11.16934028,,"26,658.33",123.596875,,"1,016.51",15.6940625,,1.013274306,"14,398",6.128701389,-74.199,40.44
3/9/2023,6.858666667,-4.16322807,,"27,618.81",126.9624561,,"1,020.88",16.33803509,,1.013891228,"14,916.55",6.502533333,-74.199,40.44
3/10/2023,6.367777778,19.14024306,,"30,063.13",128.8083333,,"1,010.97",17.91395833,,1.015041667,"16,236.71",6.381736111,-74.199,40.44
3/11/2023,6.5103125,57.47857639,,"29,871.81",132.9274306,,"1,006.37",17.75809028,,1.014826389,"16,133.20",6.065628472,-74.199,40.44
3/12/2023,5.893566667,6.813133333,12.28586667,"29,717.50",159.4426667,,"1,012.43",17.6383,110.9773333,1.01489,"16,049.99",5.783906667,-74.199,40.44
3/13/2023,6.365694444,40.90760417,12.63524306,"32,527.33",201.5267361,,"1,008.35",19.48069444,116.2246528,1.016243056,"17,567.24",5.992173611,-74.199,40.44
3/14/2023,5.800902778,102.5169792,12.68208333,"28,586.67",253.3798611,,"1,000.99",16.87763889,113.0982639,1.014291667,"15,439.40",5.471041667,-74.199,40.44
3/15/2023,4.753090278,27.38503472,13.59583333,"27,138.09",262.29375,,"1,009.98",15.84128472,117.4138889,1.013583333,"14,657.26",4.433579861,-74.199,40.44
3/16/2023,2.125825243,-9.542815534,12.95815534,"28,076.80",300.2368932,,"1,014.40",16.43912621,112.4592233,1.014,"15,163.99",4.466223301,-74.199,40.44
3/26/2023,8.963267974,-20.3506536,13.52418301,"33,704.90",184.9647059,8.597326797,"1,049.85",20.5596732,117.4973856,1.016751634,"18,203.12",9.147267974,-74.199,40.44
3/27/2023,7.697342657,-281.1761189,13.85073427,"33,078.11",169.6101399,8.580024476,"1,047.50",20.07101399,117.8335664,1.016356643,"17,864.64",8.301192308,-74.199,40.44
3/28/2023,8.907412587,-306.6382168,13.76136364,"31,505.24",162.2216783,8.593590909,"1,050.65",19.04944056,117.7258741,1.015741259,"17,015.46",8.525545455,-74.199,40.44
3/29/2023,8.626643357,-314.7044056,14.11041958,"30,928.18",171.0744755,8.5765,"1,051.65",18.68503497,121.6811189,1.015513986,"16,703.78",8.801251748,-74.199,40.44
3/30/2023,7.885583942,-374.7496715,12.74306569,"31,505.22",158.8678832,8.439423358,"1,059.11",19.00927007,107.9642336,1.015737226,"17,015.47",8.083543796,-74.199,40.44
3/31/2023,12.83916667,-262.0483333,13.19166667,"31,150",147.625,8.46525,"1,045.14",18.81916667,112.95,1.015833333,"16,823.17",8.575416667,-74.199,40.44
4/1/2023,13.35814685,-164.8546504,11.21604895,"32,323.71",158.0503497,8.282503497,"1,033.23",19.6615035,97.97622378,1.016045455,"17,457.44",9.419583916,-74.199,40.44
4/2/2023,10.94926573,-277.9181818,10.1870979,"31,291.50",170.7461538,8.120923077,"1,047.11",19.01562937,90.22657343,1.015678322,"16,900.15",9.977395105,-74.199,40.44
4/3/2023,10.54755245,-320.2747552,11.45311189,"33,161.47",191.501049,8.254622378,"1,052.34",20.26055944,101.4339161,1.016604895,"17,909.71",9.931695804,-74.199,40.44
4/4/2023,13.26993007,-323.2086014,12.67451049,"33,819.83",189.4090909,8.306370629,"1,052.70",20.76048951,114.9174825,1.016993007,"18,265.21",10.80651748,-74.199,40.44
4/5/2023,12.08318182,-364.5174126,13.63846154,"34,157.52",216.9482517,8.437513986,"1,057.83",21.00304196,123.5276224,1.01698951,"18,447.43",10.94436713,-74.199,40.44
